,account number,name,sku,quantity,unit price,ext price,date,status
0,383080,Will LLC,B1-20000,7,33.69,235.83,2014-02-01 09:04:59,bronze
1,412290,Jerde-Hilpert,S1-27722,11,21.12,232.32,2014-02-01 11:51:46,bronze
2,412290,Jerde-Hilpert,B1-86481,3,35.99,107.97,2014-02-01 17:24:32,bronze
3,412290,Jerde-Hilpert,B1-20000,23,78.9,1814.7,2014-02-01 19:56:48,bronze
4,672390,Kuhn-Gusikowski,S1-06532,48,55.82,2679.36,2014-02-02 03:45:20,silver
5,383080,Will LLC,S1-82801,21,13.62,286.02,2014-02-02 12:45:50,bronze
6,714466,Trantow-Barrows,S1-06532,9,92.55,832.95,2014-02-02 17:40:58,silver
7,239344,Stokes LLC,S1-47412,44,78.91,3472.04,2014-02-02 19:58:26,gold
8,672390,Kuhn-Gusikowski,S1-27722,36,25.42,915.12,2014-02-03 01:28:04,silver
9,307599,"Kassulke, Ondricka and Metz",S1-27722,32,95.66,3061.12,2014-02-03 11:27:34,bronze
10,642753,Pollich LLC,B1-33087,23,22.55,518.65,2014-02-04 03:53:52,bronze
11,642753,Pollich LLC,B1-33364,3,72.3,216.9,2014-02-04 05:19:52,bronze
12,688981,Keeling LLC,B1-20000,-1,72.18,-72.18,2014-02-04 07:43:51,silver
13,163416,Purdy-Kunde,B1-05914,33,16.83,555.39,2014-02-04 19:29:41,bronze
14,257198,"Cronin, Oberbrunner and Spencer",S1-30248,23,13.42,308.66,2014-02-04 19:52:57,gold
15,737550,"Fritsch, Russel and Anderson",S1-47412,40,51.01,2040.4,2014-02-05 01:20:40,bronze
16,383080,Will LLC,B1-53102,26,41.88,1088.88,2014-02-05 06:16:34,bronze
17,729833,Koepp Ltd,S1-30248,14,19.96,279.44,2014-02-05 16:03:30,silver
18,714466,Trantow-Barrows,B1-86481,31,62.07,1924.17,2014-02-05 19:18:37,silver
19,424914,White-Trantow,S1-47412,43,46.49,1999.07,2014-02-05 22:45:45,silver
20,218895,Kulas Inc,B1-20000,10,90.8,908.0,2014-02-06 04:02:47,bronze
21,714466,Trantow-Barrows,S2-11481,45,24.38,1097.1,2014-02-06 15:31:06,silver
22,141962,Herman LLC,B1-50809,9,46.02,414.18,2014-02-06 15:56:29,gold
23,218895,Kulas Inc,S1-06532,36,59.4,2138.4,2014-02-06 20:06:01,bronze
24,740150,Barton LLC,S1-93683,21,10.34,217.14,2014-02-07 08:34:50,gold
25,737550,"Fritsch, Russel and Anderson",S1-06532,34,18.69,635.46,2014-02-07 09:22:02,bronze
26,239344,Stokes LLC,B1-53102,5,76.65,383.25,2014-02-07 21:52:50,gold
27,239344,Stokes LLC,B1-53636,6,98.83,592.98,2014-02-07 22:34:18,gold
28,412290,Jerde-Hilpert,S1-82801,40,23.24,929.6,2014-02-08 01:14:38,bronze
29,424914,White-Trantow,B1-53102,20,67.22,1344.4,2014-02-08 04:18:29,silver
30,714466,Trantow-Barrows,B1-05914,33,43.11,1422.63,2014-02-08 10:34:27,silver
31,146832,Kiehn-Spinka,S2-23246,29,82.52,2393.08,2014-02-08 17:55:04,silver
32,424914,White-Trantow,S2-34077,6,52.48,314.88,2014-02-08 23:53:59,silver
33,239344,Stokes LLC,B1-53636,37,79.34,2935.58,2014-02-09 01:22:46,gold
34,257198,"Cronin, Oberbrunner and Spencer",S1-82801,46,25.66,1180.36,2014-02-09 05:16:26,gold
35,141962,Herman LLC,B1-33087,27,31.42,848.34,2014-02-09 21:13:27,gold
36,604255,"Halvorson, Crona and Champlin",S2-83881,19,82.23,1562.37,2014-02-09 22:04:34,bronze
37,163416,Purdy-Kunde,S1-06532,49,17.88,876.12,2014-02-10 05:46:15,bronze
